id,name,url,unit,status,province,prefecture,county,admin_level
1100000252,怀柔科学城,http://hsc.beijing.gov.cn,北京怀柔科学城管理委员会,正常,北京市,,,province
1100000253,北京市疾病预防控制局,https://jkj.beijing.gov.cn,北京市,正常,北京市,,,province
1101010020,北京市东城区人民政府,http://www.bjdch.gov.cn,北京市东城区政务服务管理局、东城区科学技术和信息化局,正常,北京市,北京市,东城区,county
1101020002,北京市西城区人民政府,http://www.bjxch.gov.cn,北京市西城区科学技术和信息化局,正常,北京市,北京市,西城区,county
1101050069,北京市朝阳区人民政府,http://www.bjchy.gov.cn,北京市朝阳区信息化工作办公室,正常,北京市,北京市,朝阳区,county
1101060001,北京市丰台区人民政府,http://www.bjft.gov.cn,北京市丰台区人民政府办公室,正常,北京市,北京市,丰台区,county
1101070001,北京市石景山区人民政府,http://www.bjsjs.gov.cn/,北京市石景山区人民政府政府办,正常,北京市,北京市,石景山区,county
1101080016,北京市海淀区人民政府,www.bjhd.gov.cn,海淀区人民政府,正常,北京市,北京市,海淀区,county
1101090002,北京市门头沟区人民政府,http://www.bjmtg.gov.cn,北京市门头沟区政务服务管理局,正常,北京市,北京市,门头沟区,county
1101110035,北京市房山区人民政府,http://www.bjfsh.gov.cn,房山区人民政府,正常,北京市,北京市,房山区,county
1101120001,北京市通州区人民政府,http://www.bjtzh.gov.cn,北京市通州区人民政府,正常,北京市,北京市,通州区,county
1101130028,北京市顺义区人民政府,http://www.bjshy.gov.cn,北京市顺义区人民政府办公室,正常,北京市,北京市,顺义区,county
1101140050,北京市昌平区人民政府,http://www.bjchp.gov.cn/,北京市昌平区人民政府办公室,正常,北京市,北京市,昌平区,county
1101150005,北京市大兴区人民政府,http://www.bjdx.gov.cn/,北京市大兴区人民政府,正常,北京市,北京市,大兴区,county
1101160023,北京市怀柔区人民政府,www.bjhr.gov.cn,北京市怀柔区人民政府办公室,正常,北京市,北京市,怀柔区,county
1101170029,北京市平谷区人民政府,http://www.bjpg.gov.cn,北京市平谷区人民政府,正常,北京市,北京市,平谷区,county
1102280002,北京市密云区人民政府,https://www.bjmy.gov.cn/,北京市密云区人民政府办公室,正常,北京市,北京市,密云区,county
1102290032,北京市延庆区人民政府,http://www.bjyq.gov.cn,北京延庆区人民政府,正常,北京市,北京市,密云区,county
1200000001,中共天津市委信访办公室  天津市人民政府信访办公室,http://xf.tj.gov.cn,天津市人民政府信访办公室,正常,天津市,,,province
1200000002,天津市人民政府外事办公室  天津市人民政府港澳工作办公室  天津市人民对外友好协会,http://fao.tj.gov.cn,天津市人民政府外事办公室,正常,天津市,,,province
1200000003,天津市应急管理局,http://yjgl.tj.gov.cn/,天津市应急管理局,正常,天津市,,,province
1200000005,天津市科学技术局政务网,http://kxjs.tj.gov.cn/,天津市科学技术局,正常,天津市,,,province
1200000009,天津市教育委员会,http://jy.tj.gov.cn/,天津市教育委员会,正常,天津市,,,province
1200000013,天津市人民政府国有资产监督管理委员会,http://sasac.tj.gov.cn/,天津市人民政府国有资产监督管理委员会,正常,天津市,,,province
1200000015,天津市发展和改革委员会,http://fzgg.tj.gov.cn,天津市发展和改革委员会,正常,天津市,,,province
1200000016,天津市国防动员办公室,https://gfdy.tj.gov.cn/,天津市国防动员办公室,正常,天津市,,,province
1200000021,天津市统计局,https://stats.tj.gov.cn/,天津市统计局,正常,天津市,,,province
1200000022,天津市人力资源和社会保障局,hrss.tj.gov.cn,天津市人力资源和社会保障局,正常,天津市,,,province
1200000023,天津市城市管理委员会,http://csgl.tj.gov.cn/,天津市城市管理委员会,正常,天津市,,,province
1200000025,天津市体育局,http://ty.tj.gov.cn/,天津市体育局,正常,天津市,,,province
